#,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
1,沙龍應徵美髮師，要連同作品集一齊提交—用咩最穩陣？,電郵（附履歷同作品集）,WhatsApp逐張相咁send,口頭講,Post-it,20,1
2,「收件者」應該配邊個？,暗中通知嘅受文人,標題要簡明扼要,只需知悉唔使執行,受文者電郵地址,15,4
3,第一條罪狀係？,顏色錯誤：訂淺藍色，收到粉紅色,數量不足,品質低劣,送貨太慢,20,1
4,現回覆 貴公司有關篇號K1352嘅訂單查詢。 邊個寫錯咗？,篇,號,,,20,1
5,經（ ）後，發現係本公司監管不善所致。,調查,審查,睇睇,查下,20,1
6,曹總病假幾多日？邊幾日？,2天：6月10日及11日,3天：6月9至11日,1天,5天,20,1
7,引言（自我介紹＋目的） 邊一句次序正確？,根據曹總經理指示，煩請 閣下協助處理其病假期間嘅工作。我係辦公室行政助理麥峻容，,煩請 閣下協助處理其病假期間嘅工作。我係辦公室行政助理麥峻容，根據曹總經理指示，,我係辦公室行政助理麥峻容，根據曹總經理指示，煩請 閣下協助處理其病假期間嘅工作。,,45,3
8,客人投訴染髮損壞，要索償跟進—點解職員會用電郵覆？,有發送時間同記錄，可作書面憑證,電郵比較快,客人鍾意字多,冇原因,20,1
9,「主旨」應該配邊個？,只需知悉唔使執行,標題要簡明扼要,受文者電郵地址,暗中通知嘅受文人,15,2
10,第二條比第一條嚴重喺邊？,裝訂機完全冇送到，亦冇預先通知,遲咗七日,顏色靚啲,冇附單,20,1
11,本公司對此深刻反醒，並向 貴公司致謙。 邊個寫錯咗？,反,醒,,,20,2
12,對造成嘅不便，本公司深感（ ）。,抱歉,唔好意思,sorry,對唔住喇,20,1
13,邊個代曹總處理病假期間工作？,黃經理,助理小麥,余經理,鄭經理,20,1
14,第一天安排 邊一句次序正確？,6月10日（星期四）下午兩點至四點，同市場部余經理嘅銷售計劃會議改喺二號會議室舉行。,同市場部余經理嘅銷售計劃會議改喺二號會議室舉行。6月10日（星期四）下午兩點至四點，,改喺二號會議室舉行。6月10日（星期四）下午兩點至四點，同市場部余經理嘅銷售計劃會議,,45,1
15,健身室要同器材供應商傾年費報價—邊個做法專業？,電郵列明報價單附件,口頭估價,IG private message,喺健身室口講,20,1
16,「副本抄送」應該配邊個？,只需知悉唔使執行,暗中通知嘅受文人,標題要簡明扼要,受文者電郵地址,15,1
17,送貨延誤幾多日？,7日,5日,13日,31日,20,1
18,與經理相議後，現跟進如下。 邊個寫錯咗？,相,議,,,20,1
19,現（ ）優惠券及新產品目錄。,附上,俾埋,send咗,throw畀你,20,1
20,黃經理聽日（6月10日）上午有咩安排，令佢唔能開會？,要拜訪客戶,身體檢查,開例會,去廣州,20,1
21,結尾（聯絡＋謝意） 邊一句次序正確？,如有任何問題，煩請致電2852 4781與本人聯絡。謝謝！,與本人聯絡。謝謝！如有任何問題，煩請致電2852 4781,煩請致電2852 4781與本人聯絡。謝謝！如有任何問題，,,45,1
