#,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
1,主旨欄嘅要求係？,要加感嘆號,要感性,簡明扼要，概括核心內容,越長越好,20,3
2,沙龍通知員工：下週一起新營業時間10:00-22:00。邊條主旨最啱？,update,通知,請注意！！！,關於營業時間調整嘅通知,20,4
3,沙龍版：通知新營業時間 邊一句次序正確？,各位同事：您好！我係店務助理小儀，現將12月1日起嘅新營業時間安排通知如下。,您好！我係店務助理小儀，現將12月1日起嘅新營業時間安排通知如下。各位同事：,現將12月1日起嘅新營業時間安排通知如下。各位同事：您好！我係店務助理小儀，,,45,1
4,研發部會議改至11月12日上午9:00-11:00 呢條資料點處理？,提醒事項,12日・會議調動,13日・接待團,唔寫,20,2
5,「你聽日記得覆我」 轉做書面語，邊句最啱？,覆我！,記得覆我啊,煩請 閣下於明日內回覆確認,唔好忘記！,20,3
6,會議新時間：12日9:00-11:00 呢條資料點處理？,必寫（執行需要）,唔寫（無關／失禮）,可寫（一句背景）,,20,1
7,收件者欄填？,何文傑 maxho@tech.com.hk,方總監 mfong@tech.com.hk,吳女士,全體員工,20,1
8,副本抄送嘅人，任務係？,要回覆,要批核,要轉發,只需知悉，唔使執行,20,4
9,健身室向會員解釋：3月20日停水暫停營業。,關門一日,緊急緊急緊急,3月20日（週五）暫停營業安排,抱歉,20,3
10,健身室版：向會員交代停水 邊一句次序正確？,就3月20日停水期間嘅服務安排，現致函說明。親愛嘅會員：您好！我係會籍事務組阿俊，,您好！我係會籍事務組阿俊，就3月20日停水期間嘅服務安排，現致函說明。親愛嘅會員：,親愛嘅會員：您好！我係會籍事務組阿俊，就3月20日停水期間嘅服務安排，現致函說明。,,45,3
11,會議地點由8樓改為7樓會議室 呢條資料點處理？,13日・接待團,唔寫,12日・會議調動,提醒事項,20,3
12,「間房壞緊電腦，改去7樓啦」 轉做書面語，邊句最啱？,由於8樓會議室正進行電腦系統更新，會議地點更改為7樓會議室,搬去7樓，知未,改地方,7樓啦得啦,30,1
13,方總係咪去澳門賭錢 呢條資料點處理？,必寫（執行需要）,唔寫（無關／失禮）,可寫（一句背景）,,20,2
14,方總監應該放？,副本抄送,唔使通知佢,收件者,密件副本唔放,20,1
15,正文提及「隨函附上目錄」—附件欄要？,打感嘆號,留空,寫「有嘢」,標明目錄呢個文件名稱,20,4
16,展館同事要向供應商確認展板尺寸圖則。,你睇下,請確認展板尺寸圖則（截止4/8）,圖則,急！,20,2
17,傳媒版：確認演出器材 邊一句次序正確？,何副經理：您好！我係行政助理張浩然，就11月12至13日期間嘅工作安排，現按方總監指示致函跟進。,您好！我係行政助理張浩然，就11月12至13日期間嘅工作安排，現按方總監指示致函跟進。何副經理：,就11月12至13日期間嘅工作安排，現按方總監指示致函跟進。何副經理：您好！我係行政助理張浩然，,,45,1
18,改址原因：8樓會議室進行電腦系統更新 呢條資料點處理？,12日・會議調動,提醒事項,13日・接待團,唔寫,20,1
19,個團嗰啲人10點到 轉做書面語，邊句最啱？,佢哋10點,10點到人就到,參觀團將於上午10時正抵達，煩請主持接待,準時10點啊喂,20,3
20,接待團聯絡人電話 呢條資料點處理？,可寫（一句背景）,唔寫（無關／失禮）,必寫（執行需要）,,20,3
21,主旨邊個最啱？,安排,通知通知！,方總監外出期間（11/12-13）代理工作安排,緊急！！方總唔喺,20,3
