#,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
1,課本把電郵適用場景分為四類：正式工作溝通、人事行政事務、商務往來、公文審批流程。以下哪一項屬於「商務往來」？,合作洽談，與客戶、供應商、合作方對接溝通,工作彙報、發送通知、跨部門協作對接,求職應聘、面試邀約、錄用通知,提交請示，發送審批單、報價單、項目方案,15,1
2,課本話電郵嘅好處係「自帶發送時間與發送人記錄，內容不易篡改，發生爭議時可作有效憑證」。公司同供應商口頭傾好交貨期，想日後有憑證，應點做？,改用即時通訊軟件語音留言,用電郵覆述並確認安排，留下書面紀錄,只在電話中再口頭確認一次,在部門會議上口頭同意即可,15,2
3,課本話電郵「如同『數碼文件櫃』，輸入關鍵字即可快速搜尋查閱多年前的歷史紀錄」。呢句話緊電郵邊項好處？,可作書面憑證，內容不易篡改,支持傳送數據報告、設計圖紙等大容量檔案,檢索高效便捷,訊息發出後可以即時得知對方已在線,15,3
4,課本表格列出「收件者」同「發件者」兩欄。根據課本，兩欄分別要填邊個嘅電郵地址？,兩欄都填受文者的,兩欄都填發文者的，並要自己逐次輸入,收件者填發文者的，發件者填受文者的,收件者填受文者的，發件者填發文者的,15,4
5,課本話「主旨」即郵件嘅標題。根據課本，寫主旨要注意咩？,愈長愈好，要寫齊所有細節,要簡明扼要,可以留空，方便日後修改,只用寫上收件人姓名,15,2
6,課本表格把電郵正文分為「引言、主體、結尾」三部分。以下配對邊一項正確？,引言＝主要內容；主體＝自我介紹；結尾＝附上聯絡方法,引言＝附上聯絡方法；主體＝自我介紹；結尾＝主要內容,引言＝自我介紹並指出寫作目的；主體＝主要內容；結尾＝附上聯絡方法供查詢之用,引言＝填寫主旨；主體＝列出附件；結尾＝寫上發文者職銜,15,3
7,課本電郵格式圖嘅「下款」位置要寫咩？,發文者的職銜及姓名,受文者的姓名及職銜,郵件的主旨,副本受文人的姓名,15,1
8,課本電郵格式圖把一封電郵分為「上款／稱謂」「正文」「下款」。正確次序係？,正文 → 上款 → 下款,下款 → 正文 → 上款,上款 → 下款 → 正文,上款 → 正文 → 下款,15,4
9,課本活動三電郵示例（楊卓文致大眾文具公司）嘅「主旨」一欄寫咩？,訂購文儀用品,K1352訂單問題,投訴送貨延誤,要求更換貨品,15,2
10,課本電郵示例嘅「收件者」同「副本」分別係邊位？,收件者：黃經理；副本：陳經理,收件者：陳經理；副本：黃經理,收件者：楊卓文；副本：劉安妮,收件者：黃經理；副本：楊卓文,15,1
11,課本示例嘅「主體（一）」列出三個問題，係邊三個？,價格太高、包裝破損、數量不足,發票錯誤、送錯地址、態度欠佳,顏色錯誤、貨品遺漏、送貨延誤,貨品過期、沒有保養、拒絕退貨,15,3
12,課本示例嘅「主體（二）」包括邊兩項？,自我介紹、交代寫作目的,致歉、提出賠償金額,附上聯絡方法、致謝,提出要求、表達不滿,15,4
13,課本示例開頭：「本人是星光公司採購部職員楊卓文。本公司於20XX年5月24日向 貴公司訂購了一批文儀用品……收貨後發現貨品與訂單內容不符，現反映如下：」呢段屬正文邊部分？,主體：分點列舉問題詳情,引言：自我介紹及交代寫作目的,收結：附上聯絡方法供查詢,下款：寫上發文者職銜及姓名,15,2
14,課本問題：結合活動三，呢封回覆電郵嘅主旨應該點寫？,有關送貨延誤,K1352訂單問題,回覆有關K1352訂單的查詢,K1352訂單投訴回覆,15,3
15,課本改錯練習：回覆電郵寫「本公司對此深刻反醒」同「並向貴公司致謙」，兩處應分別改為？,反省、致歉,反醒、致歉,反省、致謙,反醒、致謙,15,1
16,課本問題：回覆電郵第二段寫「經審查發現，訂單K1352出現的顏色出錯、貨品漏送、送貨延誤等問題，均為本公司內部監管不善所致」。課本認為「審查」一詞用得不恰當，應修訂為？,審問／嚴查,調查／檢查,審批／核准,不用修改，保留「審查」,15,2
17,課本問題：結合活動三想一想，呢封回覆電郵為何要抄送陳經理？,因為陳經理是黃經理的上司，需要他批准回信,因為陳經理負責安排更換貨品,因為陳經理要求收到所有客戶來信,因為楊卓文的來函抄送陳經理，回信也需抄送陳經理，讓陳經理得知最新進展,15,4
18,課本問題：回覆電郵第三段為何用分點方式（1、2、3）回覆？,對應楊卓文的來信，逐一回應所有投訴點，既顯得有條理，又可避免遺漏,為咗令郵件篇幅更長、看來更正式,因為公司規定所有電郵都要分三點,為咗方便直接複製楊卓文的原文,15,1
19,課本活動五情景：啟康工程公司行政助理麥峻容要撰寫電郵給黃經理。課本「步驟2」列出嘅寫作目的係咩？,通知黃經理加薪安排,向黃經理推銷新產品,請黃經理代曹總經理完成病假期間的工作,邀請黃經理出席深圳職業學院訪問團,15,3
20,課本活動五「步驟3：書寫正確的格式」列出四欄。以下配對邊一項正確？,收件者：曹總經理；主旨：病假申請；副本抄送：黃經理；附件：醫生證明,收件者：黃經理；主旨：曹總經理病假期間的工作安排；副本抄送：曹總經理；附件：曹總經理工作日程、深圳職業學院訪問團流程,收件者：黃經理；主旨：病假申請；副本抄送：麥峻容；附件：無,收件者：麥峻容；主旨：工作安排；副本抄送：曹總經理；附件：訂貨單,15,2
21,課本活動五列出電郵嘅措辭要求。以下邊一項係課本所講嘅要求？,文雅、含蓄、有禮,詳盡、生動、有感情,委婉、客氣，盡量避免直接,準確、清晰、具體,15,4
