#,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
1,課本錯別字表：「尊守」嘅正字係邊個？,尊收,尊守,遵守,遵收,15,3
2,課本錯別字表：「暮門」嘅正字係邊個？,幕門,暮門,墓門,慕門,15,1
3,課本錯別字表：「振定」嘅正字係邊個？,振定,震定,陣定,鎮定,15,4
4,課本餐牌Ａ餐寫「牛油麪飽」，改正欄嘅正確寫法係？,麪飽,麪包,麪苞,麪胞,15,2
5,課本餐牌Ｂ餐寫「火退通粉」，改正欄嘅正確寫法係？,火退,火褪,火腿,火蛻,15,3
6,課本餐牌Ｄ餐寫「蘿白糕」，改正欄嘅正確寫法係？,蘿蔔糕,蘿白糕,蘿卜糕,羅蔔糕,15,1
7,課本成因表：「以經」應寫成「已經」，「事非」應寫成「是非」。呢類錯別字屬於邊一種成因？,錯誤理解詞義,把字形相似的字混淆,書寫態度不夠認真,把讀音相同或相似的字混淆,15,4
8,課本成因表：「重滔覆轍」應寫成「重蹈覆轍」。課本話「蹈」係咩意思，所以要用「蹈」？,大水滾滾不絕,踏,重複,到達,15,2
9,課本成因表：「助慶」應寫成「助興」，「不知所蹤」應寫成「不知所終」。呢類錯別字屬於邊一種成因？,把字形相似的字混淆,把讀音相同或相似的字混淆,錯誤理解詞義,不懂得分辨詞性,15,3
10,課本便條：「會計部急須取用鉛筆一打、籃色圓珠筆兩打、記事薄五本」。以下邊個改正完全正確？,急需、藍色、記事簿,急須、籃色、記事簿,急需、籃色、記事簿,急需、藍色、記事薄,15,1
11,課本超市特價單寫「車箱香精座」。「車箱」應改正為？,車箱,車相,車湘,車廂,15,4
12,課本旅行團單張寫「特別按排住宿一晚新加坡」。「按排」應改正為？,按排,安排,案排,岸排,15,2
13,課本故事：「僕人聽了一聲不坑地拿著盒子出去」。「坑」應改正為？,吭,坑,亢,抗,15,1
14,課本故事：「僕人感到莫明其妙」。「明」應改正為？,明,銘,名,鳴,15,3
15,課本故事：「老夫人就大發雷庭」。「庭」應改正為？,庭,霆,廷,蜓,15,2
16,課本話「冷 ─ 暖 ─ 熱」呢一組係邊一類詞？,近義詞,絕對反義詞,等義詞,相對反義詞,15,4
17,課本表格將「出席」同「缺席」歸入邊一類？,絕對反義詞,相對反義詞,等義詞,近義詞,15,1
18,課本列舉等義詞嘅例子係邊一組？,破除／消除／解除,母親／媽媽／娘,冷／暖／熱,臨渴掘井／未雨綢繆,15,2
19,課本題：「沒有經過討論，陳經理就下了取消交通津貼的決定，真是太草率了。」「草率」嘅反義詞係？,馬虎,熱衷,認真,懶惰,15,3
20,課本題：「交流電在電子學中扮演重要的角色，它的應用範圍比直流電更廣泛。」「廣泛」嘅同義詞係？,狹窄,隨便,遙遠,普遍,15,4
21,課本題：「經過多年努力，他的事業已經有了＿＿。」應該填邊個詞？,結果,成果,效果,後果,15,2
