#,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
1,在橫線上填標點：「機房重地，禁止進入（　）」,：,。,！,？,20,3
2,在橫線上填標點：「會議室有甚麼設備（　）」,。,！,、,？,20,4
3,在橫線上填標點：「員工須遵守以下守則（　）」,；,、,，,：,20,4
4,課本表格：冒號「：」嘅作用係咩？,表示強烈的感情,表示一句話完了之後的停頓,用以提示下文,表示文中註釋的部分,20,3
5,課本表格：頓號「、」用喺邊？,表示引用的部分,放在標題的數字後面，同句子中並列的詞語之間,表示文中省略的部分,用在問句之後,20,2
6,課本表格：分號「；」嘅作用係咩？,用在問句之後,表示一句話中並列分句之間的停頓,表示意思的遞進,表示並列的詞語之間的停頓,20,2
7,課本表格：破折號「──」嘅作用係咩？,表示解釋、說明，同表示意思的遞進,表示一句話完了之後的停頓,表示書籍、文章、報刊等的名稱,表示文中省略的部分,30,1
8,課本話判斷一段文字寫得好唔好，要從邊三方面入手？,字數夠多、用詞深、有修辭,分段多、句子長、用書面語,主題清晰、層次明確、合乎邏輯,有標題、有例子、有結論,30,3
9,課本第三段寫得唔好。佢喺講「籌辦培訓會議」嘅段落中間插入「今年公司的業績令人滿意，主管正考慮增加員工的年終獎金」。呢句違反咗課本邊一項要求？,要用書面語,要用成語,句子要夠長,段落要有主題、內容要貼題,30,4
10,梁經理6月10日（四）嘅日程：上午9:30-10:30 主持招聘會議；下午14:00-16:00 與市場部余經理洽談銷售計劃。課本示範段落係按時間順序寫嘅，咁應該先寫邊一項？,先寫下午，突出重點,兩項一齊寫,下午嘅洽談銷售計劃,上午嘅招聘會議,30,4
11,課本對話資料：梁經理話「總部臨時安排我去廣州參加今天下午2:00到5:00的家電產品展銷會」。如果要寫成一段介紹佢嘅工作安排，展銷會嘅時間係？,上午9:30至11:00,下午2:00至5:00,下午5:00至7:00,上午10:05,30,2
12,課本活動一：用途係「登記工具訂購詳情」嘅，係邊一種表格？,B 每週工作日程,D 設施使用預約表,F 工具訂購申請表,C 請假申請表,20,3
13,課本活動一：用途係「辦理設施使用申請，並記錄設施實際使用情況」嘅，係邊一種表格？,B 每週工作日程,D 設施使用預約表,F 工具訂購申請表,A 維修記錄表,20,2
14,課本活動一：以下兩項好易混淆——「設備故障、維修項目、更換零件記錄」應該用邊一種表格？,E 維修服務申請表,B 每週工作日程,C 請假申請表,A 維修記錄表,30,4
15,課本活動一：用途係「提出修繕、保養或排除故障的需求」嘅，係邊一種表格？,E 維修服務申請表,D 設施使用預約表,A 維修記錄表,F 工具訂購申請表,30,1
16,課本訂購申請表樣本有兩欄：「由：顧客服務部」「致：採購部」。呢兩欄嘅意思係咩？,兩欄都填日期,「由」＝提出訂購嘅部門，「致」＝收表嘅部門,兩欄都填申請人姓名,「由」＝收表嘅部門，「致」＝提出訂購嘅部門,30,2
17,課本錄音稿：顧客服務部職員唐英明打電話訂購電腦用品，由採購部職員王若詩負責填表。表格上「申請人」一欄應該填邊個？,唐英明,部門主管,王若詩,李安妮,30,1
18,課本錄音稿：客戶想預約5月30日晚上7點至8點，但該時段已滿，職員改為當晚6點至7點，客戶同意。紀錄上「預約時間」一欄應寫？,晚上六時至七時,5月30日全日,晚上八時至九時,晚上七時至八時,30,1
19,課本錄音稿：客戶話「兩個人，都是成年人」。紀錄上「使用人數」一欄應點填？,2人（成人：1　兒童：1）,1人（成人：2）,2人（成人：2　兒童：0）,兒童：2,30,3
20,課本錄音稿：「北京臨時改了開會日期，改在星期三上午才開會」。修改後嘅一週工作紀錄，北京會議應該記入邊一日？,5/4（星期二）下午,5/3（星期一）上午,5/5（星期三）上午,5/6（星期四）下午,30,3
21,課本錄音稿：「原本下午與周總會面，但我的胃疼得厲害，結果去了看醫生」。星期五下午嘅紀錄應該點寫？,病假,與周總會面,與全體員工開會,出席記者發佈會,30,1
