#,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
1,課本活動一：把口語「你幫我裝D電腦防毒軟件先。」改寫為書面語。以下邊一句最符合漢語語法規範？,你替我裝電腦防毒軟件先。,你先替我安裝電腦防毒軟件。,你幫我先裝D電腦防毒軟件。,你先幫我安裝電腦防毒軟件D。,15,2
2,課本活動一：把口語「要檢查下設計圖先得。」改寫為書面語。以下邊一句最符合漢語語法規範？,要檢查一下設計圖才行。,要檢查下設計圖先得。,要先檢查一下設計圖。,要檢查一下設計圖先得。,15,1
3,課本活動一：把口語「請問仲有冇其他嘢可以幫到你？」改寫為書面語。以下邊一句最符合漢語語法規範？,請問仲有冇其他東西可以為你服務？,請問仲有冇其他嘢可以幫到你？,請問還有什麼可以為你服務的嗎？,請問還有其他嘢可以幫到你嗎？,15,3
4,課本活動二：句子成分分兩類——「基本成分」包括主語、謂語、賓語。咁「附加成分」包括以下邊一組？,主語、謂語、賓語,主語、狀語、補語,謂語、定語、賓語,定語、狀語、補語,15,4
5,課本例句：「紅色的訊號燈亮起來。」句入面「紅色的」係修飾、限制主語嘅成分，佢屬於邊一種句子成分？,狀語,補語,定語,謂語,15,3
6,課本例句：「大家急得像熱鍋上的螞蟻。」句入面「像熱鍋上的螞蟻」補充說明謂語，佢屬於邊一種句子成分？,賓語,補語,定語,狀語,15,2
7,課本活動四：病句常見有五種類型——語序不當、搭配不當、成分殘缺、成分贅餘，仲有以下邊一種？,用詞太深,錯別字太多,標點錯誤,不合邏輯,15,4
8,課本活動四例句：「他能夠如果重視職業安全，就不會發生這次意外。」呢句屬於邊種病句？,語序不當,搭配不當,成分殘缺,不合邏輯,15,1
9,課本活動四練習：「我們要彼此互相信任，才能解決問題。」呢句屬於邊種病句？,搭配不當,成分贅餘,語序不當,不合邏輯,15,2
10,課本活動五：「會議室坐滿了。」呢句係病句，欠咗邊種句子成分？,欠賓語,欠主語,欠謂語,冇欠成分,15,1
11,課本活動五：「她一個好員工。」呢句係病句，欠咗邊種句子成分？,欠主語,欠賓語,欠謂語,冇欠成分,15,3
12,課本活動五：以下邊一句係正確嘅句子，冇欠任何句子成分？,香港的生活環境。,後天去日本出差。,派人送來一份文件。,西貢的空氣真清新。,15,4
13,課本活動六：「每個員工都有責任維持公司的聲譽。」呢句搭配不當，應該點改？,唔需要改,「維持」改為「保養」,「維持」改為「維護」,「聲譽」改為「名聲」,15,3
14,課本活動六：「中學生是青年人學習的重要階段。」呢句問題出喺邊度？,「青年人」應改為「年輕人」,「中學生」係人，唔可以配「階段」，應改為「中學時期」,句子欠主語,句子冇問題,15,2
15,課本活動六：「他不但工作勤奮，況且樂於助人，深受同事喜愛。」關聯詞搭配不當，應該點改？,「況且」改為「而且」,「而且」改為「況且」,「不但」改為「雖然」,「勤奮」改為「努力」,15,1
16,課本活動七：「參觀過深圳的公司後，了解到高科技在行業內的應用十分廣泛。」呢句欠咗邊種句子成分？,欠賓語,欠主語,欠謂語,冇欠成分,15,2
17,課本活動七：「參加實習不久，小強就養成了工作前先檢查安全裝備。」呢句欠賓語，應該點改？,刪去「小強」,「養成」改為「學懂」,「檢查」改為「檢測」,句末補上「的習慣」,15,4
18,課本活動七：「通過這次安全演習，使同事們的職業安全意識得到了提高。」點解呢句係病句？,「提高」用詞不當,「通過」同「使」同時出現，令句子欠主語,句子欠賓語,句子成分贅餘,15,2
19,課本活動九：「過了一會兒，發電機突然漸漸地停下來了。」呢句不合邏輯，問題係咩？,「突然」和「漸漸」互相矛盾,「發電機」寫錯字,句子欠謂語,標點用錯,15,1
20,課本活動九：「我國擁有世界上沒有的萬里長城。」呢句不合邏輯，應該點改？,把「擁有」改為「有」,把「萬里長城」改為「長城」,把「沒有」改為「唯一」,唔需要改,15,3
21,課本活動九：「凡是考試成績優異的同學，大部分都是靠一分的運氣和九十九分的努力。」呢句問題係咩？,「九十九分」寫錯,「運氣」用詞不當,句子欠主語,「凡是」指全部，「大部分」指部分，兩者矛盾,15,4
